objectid,unicode,name,facility_type,type_code,center,center_code,feature_name,website,capacity,access_to_fire_extinguisher,access_to_kitchenette,access_to_parking_lot,access_to_playground,access_to_restrooms,access_to_spray_park,access_to_vending_machines,ada_accessible_facility,ada_accessible_playground_near,ada_accessible_port_a_john_near,ada_accessible_restroom,bocci_court,furniture_chairs,furniture_tables,indoor_air_conditioning,indoor_audio_system,indoor_heating,indoor_television,outdoor_basketball_courts_nea,outdoor_fishing,outdoor_grill,outdoor_horseshoe_pits_near,outdoor_lake_view,outdoor_lighting,outdoor_swimming_pool_near,outdoor_volleyball,outdoor_water_spigot,outlet_data,outlet_power,outlet_telephone,pet_friendly,port_a_john_near,smoking_not_permitted,smoking_permitted,x,y
1701,,Walnut,Shelter,130,Harrison Hills Park,HH,Walnut,https://www.alleghenycounty.us/parks/harrison-hills/walnut.aspx,50,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,-79.70216496,40.65083167
1702,,Yakaon,Shelter,130,Harrison Hills Park,HH,Yakaon,https://www.alleghenycounty.us/parks/harrison-hills/yakaon.aspx,120,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,-79.70211989,40.65723348
1703,,Cabin,Private Rental,10,North Park,NP,Cabin,https://www.alleghenycounty.us/parks/north-park/cabin.aspx,75,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,-79.99891758,40.59341606
1704,,Lodge,Building,10,North Park,NP,Lodge,https://www.alleghenycounty.us/parks/north-park/lodge.aspx,500,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,-80.0169657,40.61715318
1705,,Old Fire House,Building,10,North Park,NP,Old Fire House,https://www.alleghenycounty.us/parks/north-park/old-fire-house.aspx,60,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,-80.01164068,40.59547278
1706,,Parish Hill,Building,10,North Park,NP,Parish Hill,https://www.alleghenycounty.us/parks/north-park/parish-hill.aspx,150,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,-80.01516657,40.60201075
1707,,Ranch House,Building,10,North Park,NP,Ranch House,https://www.alleghenycounty.us/parks/north-park/ranch-house.aspx,75,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,-80.02396555,40.6041634
1708,,Rose Barn,Building,10,North Park,NP,Rose Barn,https://www.alleghenycounty.us/parks/north-park/rose-barn.aspx,150,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,-80.00454206,40.60474929
1709,,Scout Cabin,Building,10,North Park,NP,Scout Cabin,https://www.alleghenycounty.us/parks/north-park/scout-cabin.aspx,22,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,-80.01647741,40.59648781
1710,,Basketball Courts,Court - Basketball,31,North Park,NP,Basketball Courts,https://www.alleghenycounty.us/parks/activities/basketball.aspx,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-80.02470573,40.6171592
1711,,Dek Hockey Rink,Dek Hockey Rink,40,North Park,NP,Dek Hockey Rink,https://www.alleghenycounty.us/parks/activities/dek-hockey-inline-skating.aspx,50,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.99505633,40.58667877
1712,,Devils Elbow Baseball Field,Field - Baseball,61,North Park,NP,Devils Elbow Baseball Field,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,30,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.99690996,40.58513201
1713,,Donora Baseball Field,Field - Baseball,61,North Park,NP,Donora Baseball Field,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,40,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,-79.98412785,40.58948039
1714,,Lone Pine Baseball Field,Field - Baseball,61,North Park,NP,Lone Pine Baseball Field,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,40,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,-79.98351244,40.58859075
1715,,Mill Baseball Field,Field - Baseball,61,North Park,NP,Mill Baseball Field,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,40,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-80.01816946,40.61092787
1716,,Pie Traynor Baseball Field,Field - Baseball,61,North Park,NP,Pie Traynor Baseball Field,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,40,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.99113851,40.58710903
1717,,Woods Baseball Field 1,Field - Baseball,61,North Park,NP,Woods Baseball Field 1,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,40,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,-79.98771466,40.58641847
1718,,Woods Baseball Field 2,Field - Baseball,61,North Park,NP,Woods Baseball Field 2,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,40,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,-79.98726464,40.58714033
1719,,J.C. Stone Field,Field - Football,62,North Park,NP,J.C. Stone Field,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,500,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,-80.01091661,40.59707466
1720,,Mckinney Soccer Field 1,Field - Soccer,64,North Park,NP,Mckinney Soccer Field 1,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,40,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-80.04842013,40.61994132
1721,,Mckinney Soccer Field 2,Field - Soccer,64,North Park,NP,Mckinney Soccer Field 2,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,40,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-80.04855632,40.6204328
1722,,Pie Traynor Soccer Field,Field - Soccer,64,North Park,NP,Pie Traynor Soccer Field,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,40,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.99243449,40.58620813
1723,,Schwartz Soccer Field 1,Field - Soccer,64,North Park,NP,Schwartz Soccer Field 1,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,40,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-80.04802923,40.61832815
1724,,Schwartz Soccer Field 2,Field - Soccer,64,North Park,NP,Schwartz Soccer Field 2,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,40,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-80.04907108,40.61793226
1725,,Woods Soccer Field,Field - Soccer,64,North Park,NP,Woods Soccer Field,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,40,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,-79.98754839,40.58588642
1726,,Yoest Soccer Field 1,Field - Soccer,64,North Park,NP,Yoest Soccer Field 1,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,40,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-80.04700575,40.61688778
1727,,Yoest Soccer Field 2,Field - Soccer,64,North Park,NP,Yoest Soccer Field 2,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,40,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-80.0477529,40.61684392
1728,,Ice Skating Rink - 2nd Floor,Ice Rink,100,North Park,NP,Ice Skating Rink - 2nd Floor,https://www.alleghenycounty.us/parks/north-park/skating-rink-2nd-floor.aspx,200,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-80.02344284,40.61592769
1729,,Ice Skating Rink - Rink,Ice Rink,100,North Park,NP,Ice Skating Rink - Rink,https://www.alleghenycounty.us/parks/activities/winter-sports/ice-skating---hockey.aspx,50,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-80.02322619,40.61562725
1730,,North Park Pool,Pool,120,North Park,NP,North Park Pool,https://www.alleghenycounty.us/parks/activities/water-activities/pools.aspx,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.99401793,40.58887308
1731,,Ambridge,Shelter,130,North Park,NP,Ambridge,https://www.alleghenycounty.us/parks/north-park/ambridge.aspx,40,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,-80.01901813,40.61321625
1732,,Babble Brook,Shelter,130,North Park,NP,Babble Brook,https://www.alleghenycounty.us/parks/north-park/babble-brook.aspx,40,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,-79.99769744,40.5942171
1733,,Beaver,Shelter,130,North Park,NP,Beaver,https://www.alleghenycounty.us/parks/north-park/beaver.aspx,40,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,-79.99652137,40.59968695
1734,,Beveridge,Shelter,130,North Park,NP,Beveridge,https://www.alleghenycounty.us/parks/north-park/beveridge.aspx,50,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,-79.98431126,40.58803237
1735,,Blackrock,Shelter,130,North Park,NP,Blackrock,https://www.alleghenycounty.us/parks/north-park/blackrock.aspx,40,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.98953047,40.58474947
1736,,Buffalo,Shelter,130,North Park,NP,Buffalo,https://www.alleghenycounty.us/parks/north-park/buffalo.aspx,40,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,-80.00509039,40.60007971
1737,,Carnegie,Shelter,130,North Park,NP,Carnegie,https://www.alleghenycounty.us/parks/north-park/carnegie.aspx,40,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,-79.98891742,40.58580671
1738,,Cottage,Shelter,130,North Park,NP,Cottage,https://www.alleghenycounty.us/parks/north-park/cottage-shelter.aspx,50,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,-79.99766837,40.59138802
1739,,Deer Browse 1,Shelter,130,North Park,NP,Deer Browse 1,https://www.alleghenycounty.us/parks/north-park/deer-browse-1.aspx,50,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,-79.99167277,40.58839822
1740,,Deer Browse 2,Shelter,130,North Park,NP,Deer Browse 2,https://www.alleghenycounty.us/parks/north-park/deer-browse-2.aspx,50,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.99281338,40.58729188
1741,,Deer Browse 3,Shelter,130,North Park,NP,Deer Browse 3,https://www.alleghenycounty.us/parks/north-park/deer-browse-3.aspx,45,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.99236377,40.587306
