field_name,x,y,objectid,area,perimeter,ballfields,ballfiel_1,id,polygonid,scale,angle,point_x,point_y,dpw_name,cityid,active
Herschel Upper,-80.0443229957417,40.4402866803812,64,0,0,64,64,53,0,0,0,1329961.48271719,411541.27920294,Herschel #2 (Upper),P326,Yes
Wightman,-79.9275692770751,40.4435533220618,65,0,0,65,65,119,0,0,0,1362478.10469168,411908.23352152,Wightman,P391,Yes
Kennard 1,-79.9726123012401,40.4428760291885,66,0,0,66,66,64,0,0,0,1349938.93652861,411973.87151361,Kennard  #1,P335,Yes
Josh Gibson Field 1,-79.9777218446215,40.4495227304608,67,0,0,67,67,4,0,0,0,1348578.30670394,414430.32099702,Josh Gibson #1,P276,Yes
Josh Gibson Field 2,-79.9789448731556,40.4497358821525,68,0,0,68,68,5,0,0,0,1348239.99865353,414516.53506343,Josh Gibson #2,P277,Yes
East Hills,-79.8698521113675,40.4534085439155,69,0,0,69,69,36,0,0,0,1378623.97299044,415106.62541869,East Hills,P311,Yes
Broadhead Manor,-80.0854166438843,40.4496658818485,70,0,0,70,70,0,0,0,0,1318617.5897226,415256.71206076, Name,,No
Willie Stargell 1,-79.900259066572,40.4535513337401,71,0,0,71,71,58,0,0,0,1370165.76418512,415363.18855386,Willie Stargell #1,P330,Yes
Willie Stargell 2,-79.8991622964189,40.454084199493,72,0,0,72,72,59,0,0,0,1370475.61691186,415549.8249916,Willie Stargell #2,P331,Yes
McKnight,-80.0237257519112,40.4519603823294,73,0,0,73,73,76,0,0,0,1335802.16657385,415644.33202043,McKnight,P349,Yes
Mellon Park Middle,-79.9160582020669,40.4542917526297,74,0,0,74,74,79,0,0,0,1365776.96193911,415740.27900702,Mellon # 3,P352,Yes
Mellon Park Little,-79.9168220350943,40.4544557315071,75,0,0,75,75,77,0,0,0,1365565.9272562,415805.21260418,Mellon # 1,P350,Yes
Mellon Park Main,-79.9154342944535,40.4556771336917,76,0,0,76,76,78,0,0,0,1365962.90874569,416240.56409569,Mellon # 2,P351,Yes
Richie McCabe,-80.0073085301039,40.4539527480076,77,0,0,77,77,2,0,0,0,1340388.05864878,416252.71827085,Richie McCabe,P273,Yes
West Penn 1,-79.971237241229,40.4551526808997,78,0,0,78,78,116,0,0,0,1350434.01952794,416435.20839144,West Penn #1,P387,Yes
Martin Luther King,-80.003762202638,40.4548529685494,79,0,0,79,79,1,0,0,0,1341383.00449352,416555.35841361,Martin Luther King,P274,Yes
West Penn 2,-79.9705013082073,40.455769178326,80,0,0,80,80,0,0,0,0,1350644.39870036,416654.57770336, Name,P388,Yes
Manchester Playground,-80.025392589378,40.4569774211012,81,0,0,81,81,69,0,0,0,1335385.53322077,417483.37886727,Manchester,P342,Yes
Cowley Field 1,-79.9887576479118,40.4583184356753,82,0,0,82,82,30,0,0,0,1345589.18144861,417711.22683677,Cowley  #1,P304,Yes
